Project,Client,Title,Duration
SOS1819-10,,#1 Crear cuenta de git hub,00:05:43
SOS1819-10,,#1 Hacer L02,01:08:22
SOS1819-10,,#2 Issue_sesion_feedback_01,00:03:38
SOS1819-10,,#2 Tener Instalado la herramienta POSTMAN,00:07:14
SOS1819-10,,#3 F02-Feeback,03:32:24
SOS1819-10,,#3 Issue-feedback_fraparcas,00:18:08
SOS1819-10,,#4 issue#4,00:02:38
SOS1819-10,,#4 issue_sesion_feedback_02,02:55:44
SOS1819-10,,#5 Feedback-3-fraparcas,03:51:15
SOS1819-10,,#6 Se deben cumplir todas las normas de la tabla azul,00:03:31
SOS1819-10,,#7 Realizar API REST con métodos para fuente de datos,03:18:38
SOS1819-10,,#8 Realizar API Rest sobre biofuels-production,03:12:00
SOS1819-10,,Analytics,06:50:08
SOS1819-10,,D03,02:21:35
SOS1819-10,,Integrations,39:35:19
SOS1819-10,,Realizar tareas de backlog y repasar video de L05,03:09:18
SOS1819-10,,Visualizacion,01:00:35
SOS1819-10,,,05:48:02
